dufresny-adieux-des-officiers,la-fontaine-daphne,Score
"('#le-tambour', 'À cheval, à cheval, Mars, vite à la guerre,  Prends ta rapière,  Il est temps,  Quand le coq a chanté : Mars déjà la gloire,  Et la victoire,  Sont aux champs. ')",-,0.0
"('#un-amour', 'Suivez la gloire et ses attraits,  Laissez Mars et Vénus en paix. ')",-,0.0
"('#le-tambour', 'Le bruit de mon tambour et de la trompette,  Met la grisette  Aux abois.  Mais un brave guerrier doit de bonne grâce,  Céder la place  Au bourgeois. ')",-,0.0
"('#l-amour', 'Vénus ne saurait consentir  À le laisser partir. ')",-,0.0
"('#le-tambour', 'Un jeune héros doit laisser sa faiblesse  À sa maîtresse  En partant.  Je lui permets de rire avec son hôtesse,  Mais sans tendresse,  En passant. ')",-,0.0
"('#l-amour', ""Ne permettez rien aux amants,  Ils ne sont que trop inconstants.  Mars et Vénus quittent le lit de repos, et s'avancent."")",-,0.0
"('#mars', ""Mon devoir m'arrache d'auprès de vous, charmante Vénus, il faut vous quitter dans le temps que votre coeur commençait à s'ébranler pour moi ; quel contretemps ! "")",-,0.0
"('#venus', ""Hélas, je suis bien plus à plaindre que vous !  J'ai tout à craindre de votre inconstance ; et une campagne endurcit bien le coeur d'un guerrier."")",-,0.0
"('#le-tambour', ""Il faut, s'il vous plaît, abréger vos dialogues ; vous n'avez que le temps de venir payer votre hôtesse. Bellone a déjà endossé son habit de postillon, elle sera ici dans un moment avec votre chaise de poste. "")",-,0.0
"('#mars', ""Va voir s'il ne manque rien à mon équipage, et laisse-moi profiter de quelques moments que la gloire veut bien accorder à ma tendresse. "")",-,0.0
"('#le-tambour', ""Votre équipage est complet, il ne vous manque rien que de l'argent ; mais, madame Vénus y pourvoira.  À propos, pendant que je suis dans le magasin de Vulcain, je vais vous choisir deux bons éperons de longueur, car je me souviens que votre cheval est toujours rétif quand il faut sortir de Paris. "")",-,0.0
"('#mars', ""Tes discours m'importunent ; retire-toi. "")",-,0.0
"('#le-tambour', 'À voir les cérémonies que votre cheval fait pour sortir des portes, on croirait que le pauvre animal ressent la moitié de la tendresse que vous avez pour madame. ')",-,0.0
"('#mars', 'Hé, laisse-nous en paix. ')",-,0.0
"('#le-tambour', ""Vous souvient-il du tour qu'il vous joua en revenant de Flandres, comme nous sortions de cette hôtellerie... là... où vous devîntes amoureux de la servante ? "")",-,0.0
"('#mars', 'Te tairas-tu maraud ? ')",-,0.0
"('#le-tambour', 'Il faut les laisser seuls : le jour du départ on a mille choses à se dire.  Mais voilà Bellone, dépêchez-vous. Vers Mars.')",-,0.0
"('#bellone', ""Partez, partez, Mars, il est temps ;  Les plaisirs du printemps  Sont indignes de vous ; allez porter la guerre. Aux deux bouts de la terre.  Laissez en paix, au moins pendant six mois,  Nos ménages bourgeois,  C'est le seul bien que vous leur puissiez faire,  Rien n'est si doux  Pour un jaloux  Que votre absence :  Mais vos adieux,  En récompense,  Sont bien dangereux. "")",-,0.0
"('#vulcain', ""Le ciel soit loué !  Voilà Bellone qui va délivrer ma maison de ce grand pendard de Mars.  C'est le plus grand maraud !  Cependant, parce qu'il a de la bravoure, et que je suis naturellement poltron, j'ai mille complaisances pour lui.  Il me prend pourtant envie de venger mon front sur le sien.  Mais, non, c'est un brutal qui n'entend pas raillerie, différons la vengeance jusqu'à ce qu'il soit parti.  Il aime tendrement ma femme, et je ne puis mieux me venger de lui, qu'en rossant ce qu'il aime.  Pour le présent, le plus sûr est de travailler comme si de rien n'était.  Il lève son marteau. Vulcain frappe sur son enclume dans le temps que Mars et Vénus parlent ensemble."")",-,0.0
"('#un-amour', ""Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train.  Suivez cet usage,  Mortels indiscrets,  Dans votre ménage  Vous aurez la paix  Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train. "")",-,0.0
"('#venus', ""Petit mari ? Moutonnet, mignon, tu fais plus de bruit aujourd'hui qu'à l'ordinaire. Vulcain tourne la tête sans rien dire et frappe toujours. "")",-,0.0
"('#vulcain', ""C'est que je frappe de rage. Il continue de frapper."")",-,0.0
"('#venus', 'Mon petit fils, frappe donc plus doucement, si tu veux épargner ma tête.')",-,0.0
"('#vulcain', ""Tu n'épargnes guères la mienne, toi, carogne. Il frappe encore."")",-,0.0
"('#mars', ""En vérité, monsieur Vulcain, vous n'avez guères de considération pour les femmes."")",-,0.0
"('#vulcain', 'Ni vous pour les maris, monsieur Mars. Il frappe toujours.')",-,0.0
"('#mars', 'Mais vraiment, vous ne songez pas que vous donnez des vapeurs à madame ?')",-,0.0
"('#vulcain', 'Si je lui donne des vapeurs, vous prenez bien soin de les guérir, vous. Il frappe encore.')",-,0.0
"('#mars', 'Par la sambleu, si vous ne cessez de frapper...')",-,0.0
"('#vulcain', ""Monsieur Mars, je vous demande pardon, mais ma besogne presse, et j'ai une nouvelle baguette de Vulcain de commande, que je dois livrer aujourd'hui aux comédiens."")",-,0.0
"('#mars', ""Quand je serai parti, vous forgerez tant qu'il vous plaira."")",-,0.0
"('#vulcain', ""Monsieur, notre grand débit se fait avec les officiers.  Sitôt que vous les aurez emmenés à l'armée, il faudra mettre les baguettes de Vulcain aux vieilles ferrailles."")",-,0.0
"('#mars', ""Ce serait dommage de laisser inutile un instrument qui va chercher l'or jusques dans les entrailles de la terre."")",-,0.0
"('#vulcain', ""Les baguettes qui ne font que chercher l'or sont contrefaites, les véritables l'attirent ; et j'en connais une qui en trois mois a fait venir plus de vingt mille écus à l'hôtel de Bourgogne.  Mais vous me faites perdre ici mon temps mal à propos.  J'ai trop la vogue pour m'amuser à parler gratis, et avec les Parisiens il faut battre le fer quand il est chaud.  Tous ce que je puis faire pour adoucir le bruit des marteaux, c'est de chanter en travaillant.  Il frappe toujours."")",-,0.0
"('#mars', ""Madame, puisqu'il nous empêche de parler bas, il mériterait bien que vous me fissiez une déclaration d'amour, si haut qu'il l'entende. "")",-,0.0
"('#vulcain', ""Si ma femme a la rage  De le dire si haut,  Je repousse l'outrage  À grands coups de marteau,  Je frapperai tant... tant... Il veut frapper Mars. "")",-,0.0
"('#mars', 'Plaît-il ?')",-,0.0
"('#vulcain', ""Sur mon ouvrage,  Que je n'entendrai rien  De tout votre entretien. "")",-,0.0
"('#mars', ""Je vois bien qu'il faut quitter la place.  Voilà un grand brutal."")",-,0.0
"('#venus', 'Je ne verrai donc plus auprès de moi, que ce magot ?  Vous me quittez ?  Ah !')",-,0.0
"('#mars', ""Il faut bien lui faire un peu d'amitié, pour le disposer à vous bien traiter en mon absence.  Je le hais comme tous les diables... Adieu, mon cher ami Vulcain, je suis fâché d'être obligé de vous quitter. À Vulcain. Il l'embrasse."")",-,0.0
"('#vulcain', 'Ah, monsieur ! Il lui laisse tomber son marteau sur les pieds.')",-,0.0
"('#mars', ""Hai !  Au moins je vous recommande de veiller un peu à la conduite de madame votre épouse, pendant mon voyage.  Si vous voulez conserver sa réputation et la vôtre, gardez-vous bien de laisser entrer chez vous tous ces petits demi-dieux blondins et court-vêtus, qui n'attendent que mon départ pour venir fondre ici. "")",-,0.0
"('#vulcain', ""Ma foi, monsieur Mars, un plumet comme vous décrie plus une femme en huit jours d'été, que tous ces messieurs-là en tout un hiver.  Mais baste, un peu d'honneur plus_ou_moins dans une famille, cela ne vaut pas la peine de se brouiller avec un ami tel que vous. "")",-,0.0
"('#mars', 'À propos, ma rondache est-elle achevée de polir.')",-,0.0
"('#vulcain', 'Vous avez ici des armes à choisir. Vénus et les amours arment Mars.')",-,0.0
"('#mars', 'Monsieur mon compère, ne prenez pas la peine...')",-,0.0
"('#vulcain', ""Il est bien juste que je vous coiffe par droit de représailles. Mars s'en va."")",-,0.0
"('#venus', ""Tu veux bien que j'aille le conduire jusqu'au Bourget."")",-,0.0
"('#vulcain', ""Non, non, j'irai bien moi-même."")",-,0.0
"('#venus', 'Tu viens de nous dire que tu as de la besogne pressée ? ')",-,0.0
"('#vulcain', ""Le plus pressé de ma besogne c'est de le faire partir promptement. Songez seulement aux soins de votre ménage ; et pendant mon absence, mettez la paix entre vos deux enfants, qui se mangent le blanc des yeux ensemble. "")",-,0.0
"('#cupidon', 'On a bien de la peine à trouver le moment  De vous dire un mot seulement.')",-,0.0
"('#venus', ""M'a-t-on vu quelquefois refuser audience  À l'amour ? "")",-,0.0
"('#cupidon', ""Rarement. Mais j'ai trop de prudence  Pour paraître quand votre époux  Est en affaire avec vous.  Je parlerais en vain. "")",-,0.0
"('#venus', ""Qu'avez-vous à me dire ?  Comment va l'amoureux empire ? "")",-,0.0
"('#cupidon', ""Toujours de pis en pis, grâce à mon frère aîné.  C'est un amour si mal morigéné. "")",-,0.0
-,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")",0.0
-,"('#venus', 'Charmante oisiveté, repos délicieux !')",0.0
-,"('#minerve', 'Ou plutôt, repos ennuyeux !')",0.0
-,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")",0.0
-,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",0.0
-,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")",0.0
-,"('#momus', ""Ne vous faites point tant d'affaires."")",0.0
-,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")",0.0
-,"('#promethee', 'Que me veut Jupiter ?')",0.0
-,"('#jupiter', 'Ouvre tes magasins.')",0.0
-,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")",0.0
-,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",0.0
-,"('#promethee', 'Vous ne les connaissez pas.')",0.0
-,"('#momus', 'Fais-leur faire quelques pas.')",0.0
-,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",0.0
-,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",0.0
-,"('#promethee', ""C'est l'idole d'un sage."")",0.0
-,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')",0.0
-,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")",0.0
-,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')",0.0
-,"('#minerve', 'Laissez-moi régler ces transports.')",0.0
-,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")",0.0
-,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",0.0
-,"('#venus', ""C'est l'amour."")",0.0
-,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",0.0
-,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")",0.0
-,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")",0.0
-,"('#venus', ""Amour, qu'il est doux de te suivre !"")",0.0
-,"('#jupiter', 'Vivez, nouveaux humains.')",0.0
-,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",0.0
-,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",0.0
-,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",0.0
-,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",0.0
-,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",0.0
-,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",0.0
-,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")",0.0
-,"('#minerve', 'Moi, la vertu.')",0.0
-,"('#venus', ""Moi, l'agrément."")",0.0
-,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",0.0
-,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",0.0
-,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",0.0
-,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",0.0
-,"('#chloris', 'Viens, ma soeur.')",0.0
-,"('#aminte', 'Je te suis.')",0.0
-,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")",0.0
-,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",0.0
-,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")",0.0
-,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",0.0
-,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')",0.0
-,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")",0.0
-,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')",0.0
-,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",0.0
-,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",0.0
-,"('#daphne', 'Déployons nos trésors.')",0.0
-,"('#chloris', ""J'ai cueilli les plus belles."")",0.0
-,"('#aminte', 'Et moi, les plus nouvelles.')",0.0
-,"('#meroe', 'Moi, les plus vives en couleur.')",0.0
-,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")",0.0
-,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",0.0
-,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')",0.0
-,"('#clymene', 'Amour,')",0.0
-,"('#daphne', 'Si jamais sous ta loi Je respire,')",0.0
-,"('#clymene', 'Si jamais sous ta loi Je respire,')",0.0
-,"('#daphne', 'Je consens de mourir.')",0.0
-,"('#clymene', ""Mourir ? c'est beaucoup dire."")",0.0
-,"('#daphne', 'Je consens de mourir, si jamais je soupire.')",0.0
-,"('#clymene', 'Je consens de mourir, si jamais je soupire.')",0.0
-,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",0.0
-,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")",0.0
-,"('#daphne', 'Méroé, poursuivez nos divertissements.')",0.0
-,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")",0.0
-,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")",0.0
-,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")",0.0
-,"('#apollon', 'Mais que dis-tu de ma victoire ?')",0.0
-,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")",0.0
-,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")",0.0
-,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")",0.0
-,"('#apollon', 'Et que crains-tu pour moi ?')",0.0
-,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",0.0
-,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",0.0
-,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",0.0
-,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")",0.0
-,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")",0.0
-,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")",0.0
-,"('#momus', 'Elle fuit.')",0.0
-,"('#apollon', 'Mille amours avec elle ont paru.')",0.0
-,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")",0.0
-,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")",0.0
-,"('#momus', 'Passerons-nous pour dieux ?')",0.0
-,"('#apollon', 'Et pour qui donc passer')",0.0
-,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")",0.0
-,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",0.0
-,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")",0.0
-,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")",0.0
-,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",0.0
-,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")",0.0
-,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")",0.0
-,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')",0.0
-,"('#fleuves', 'Commandez.')",0.0
-,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")",0.0
-,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")",0.0
-,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')",0.0
-,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",0.0
-,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",0.0
-,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",0.0
"('#venus', ""Je sais qu'il est sans politesse,  Sans agrément et sans adresse :  Aussi n'est-ce pas lui  Qui dispose aujourd'hui  De la belle tendresse.  Vous avez tous les traits, dont la délicatesse  Charme le coeur, en lui donnant des lois,  Et je n'ai mis dans son carquois  Que ces vieux traits rouillés, dont la pointe émoussée  Conclut l'amour par l'hyménée. "")","('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")",0.5748971700668335
"('#cupidon', ""Vraiment, l'hymen et lui  Sont bien mal ensemble aujourd'hui.  C'est un gros débauché, qui m'ôte mes pratiques :  Il dégoûte les coeurs des galantes rubriques  Qui doivent au bonheur disposer le terrain :  Il conduit les amants par le plus court chemin.  Il me prévient partout, disant que c'est l'usage.  Et quand ses traits ont achevé l'ouvrage,  Vous savez que les miens ne servent plus de rien. "")","('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",0.689898669719696
