biancollelli-arlequin-gentilhomme,dufresny-depart-des-comediens,Score
"('#colombine', 'Allons, maître faquin, dénichez promptement. ')",-,0.0
"('#pierrot', ""C'est ainsi que l'on traite un méchant garnement,  Hors d'ici... "")",-,0.0
"('#arlequin', 'Modérez cette brusque colère,  Monsieur, que votre main soit un peu plus légère,  Et vous, Madame, ayez plus de compassion,  Vous pourriez bien me faire une contusion,  Je ne vis de mes jours femme plus violente,  Qui connaît mieux que moi votre humeur turbulente ? ')",-,0.0
"('#colombine', ""Je ferais beaucoup mieux de te remercier,  Et te laisser gratis vider tout mon cellier,  Chez moi depuis trois mois tu prends ta nourriture,  J'ai voulu te prêter dix écus sans usure,  Et tu ne songes pas encore à t'acquitter,  Demain je prendrai soin de te faire arrêter,  Une obscure prison sera ta récompense,  Si par le paiement tu n'obtiens ta quittance. "")",-,0.0
"('#arlequin', ""Vous voulez en prison faire mettre Arlequin,  Je n'y resterai pas je suis trop libertin."")",-,0.0
"('#pierrot', ""Bon, bon, quand une fois tu seras dans la cage,  Quoique tu sois porté pour le libertinage,  Tu ne sortiras pas pour t'aller promener,  Je te ferai mon cher, moi-même emprisonner,  Foi de Pierrot, hélas ! Quel serment effroyable  Cela me fait trembler/ "")",-,0.0
"('#arlequin', ""Vous êtes trop bon Diable,  Vous n'avez pas le coeur de me faire enfermer. "")",-,0.0
"('#pierrot', ""Oh si tu prenais l'air tu pourrais t'enrhumer,  Dans un cachot bien clos tu seras à ton aise. "")",-,0.0
"('#arlequin', ""Le cachot est mal sain et n'a rien qui me plaise,  D'ailleurs la solitude a pour moi peu d'appas. "")",-,0.0
"('#pierrot', 'Tu pourras converser avec Messieurs les rats,  Qui le jour et la nuit te tiendront compagnie. ')",-,0.0
"('#arlequin', ""La conversation sera, ma foi, jolie,  De grâce, cher Pierrot, soyez plus indulgent,  Le moyen de payer quand on est sans argent,  Je n'ai pas un denier, je me mets à la mode,  Et des gens du grand air j'observe la méthode,  Payer ce que l'on doit est du dernier bourgeois,  Mon ami, lui dit-on, venez une autre fois,  Il retourne, on lui tient toujours même langage,  Le pauvre malheureux fait en vain ce voyage.  L'homme de qualité qui ne veut point payer,  Conduit jusqu'aux degrés le morne créancier ;  C'est ainsi qu'aujourd'hui on acquitte ses dettes  Et Messieurs les Marchands sont traités en grisettes,  On leur trouve d'abord de merveilleux appas,  Quand on s'est servi l'on en fait peu de cas. "")",-,0.0
"('#colombine', 'Ta comparaison cloche, il faut me satisfaire. ')",-,0.0
"('#arlequin', ""L'honneur me le défend et je ne puis le faire,  J'ai le coeur noble et fier, connaissez Arlequin. "")",-,0.0
"('#pierrot', 'Vous êtes, je le sais, Gentilhomme faquin,  Mais du moins mon ami laissez-nous quelque gage. ')",-,0.0
"('#arlequin', ""Je ne puis vous donner qu'un morceau de fromage,  Que je garde avec soin depuis plus de dix ans,  Et je fais sur moi-même un effort des plus grands,  En vous abandonnant ce trésor plein de charmes  C'est lui seul dont le goût dissipe mes alarmes,  Lorsque je suis chagrin, inquiet, agité,  Je n'ai qu'à le sentir pour ma tranquillité.  Je le mets pour dormir la nuit sous ma paillasse  Et je ronfle en repos quelque bruit que l'on fasse  Quand même vingt canons péteraient à la fois,  Jamais malgré ce bruit je ne m'éveillerais.  Mais je vois bien qu'il faut répondre à votre envie,  Fromage de Milan, délice de ma vie,  Lénitif de mes maux, aimable cordial,  Rare et friand boucon, élixir pectoral,  Passez dans d'autres mains puisque du sort barbare,  L'injurieuse loi pour jamais nous sépare,  Recevez, cher Pierrot, ce bijou précieux,  Dont la perte de pleurs grossit mes petits yeux.  Il dit ce qui suit d'un ton tragique."")",-,0.0
"('#pierrot', ""Il est bon là ma foi, que veux-tu que j'en fasse ?  Cette plaisanterie est de mauvaise grâce,  Nous voulons de l'argent tout au plus tard demain,  Sinon sur le collet on te mettra la main,  Cherche un expédient pour te tirer d'affaire. "")",-,0.0
"('#colombine', ""Je te l'ai déjà dit, songe à me satisfaire  C'est le plus sûr moyen pour sortir d'embarras,  Il me faut du comptant. "")",-,0.0
"('#arlequin', ""Et n'en avez-vous pas ?  Pourquoi m'en demander ? "")",-,0.0
"('#pierrot', ""C'en est trop ventrebille,  J'entre en fureur, allons femme, rossons ce drille.  Pierrot et Colombine frappent Arlequin."")",-,0.0
"('#colombine', 'Pour moi je le veux bien je frappe de bon coeur. ')",-,0.0
"('#arlequin', ""Est-ce ainsi qu'aujourd'hui l'on traite un débiteur ?  Je recevrais le double avec grande constance,  Si de ce que je dois vous donniez quittance. "")",-,0.0
"('#pierrot', 'Oh, tu gagnerais trop, et moi je perdrais tout. ')",-,0.0
"('#arlequin', 'Par ma foi vous poussez ma complaisance à bout. ')",-,0.0
"('#colombine', ""Il nous faut de l'argent, adieu maligne bête. "")",-,0.0
"('#arlequin', 'Peut-on vous refuser, vous êtes trop honnête ? ')",-,0.0
"('#arlequin', ""Je me trouve à présent dans un piteux état,  Que ferai-je ? Endossons un habit de soldat...  Non pas c'est mal penser, le canon m'épouvante  Ce bruit alarme trop mon oreille tremblante,  D'ailleurs je ne prétends courir aucun hasard,  Car la valeur et moi, nous faisons pot à part.  Choisissons un métier lucratif et facile,  Où je puisse accorder l'agréable et l'utile ;  Celui de ne rien faire est un emploi charmant,  Morbleu que je saurais l'exercer noblement !  Mais pour le soutenir quoiqu'il puisse me plaire  Il faut avoir du fond, ce n'est pas mon affaire.  Faisons-nous Avocat, c'est un joli métier,  Il ne faut que mentir, supposer et crier,  Dire des faussetés, car c'est là la méthode,  Citer mal à propos un passage du code...  Non, non, il faut longtemps arpenter le Palais,  Avant que les plaideurs tombent dans les filets.  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  Non celui de Jasmin est son premier degré.  Médecin ou Bourreau l'un vaut l'autre, il n'importe,  Je renonce à ce nom, ou le Diable m'emporte,  J'ai le coeur trop humain, et je ne pourrais pas  Voir chérir l'ignorant et vivre du trépas.  La charge de voleur me serait convenable,  Je suis adroit, subtil, alerte comme un Diable.  Je suis fou d'aspirer au titre de voleur,  Puisque je ne veux pas devenir Procureur.  Que choisirai-je donc pour sortir de misère ?  Item il faut manger la chose est nécessaire,  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  . . . . . . . . . . . .  Faisons-nous bel esprit, il est beau d'être auteur...  Encore moins, j'aime mieux l'emploi de crocheteur.  En voici la raison. Dans le siècle où nous sommes,  Les savants sont toujours de misérables hommes,  Qu'ils fassent de beaux vers, ils n'en sont pas moins gueux,  Et l'heure du dîner ne sonne pas pour eux.  Mais un bon crocheteur après son rude ouvrage  Trouve dans son taudis, son bouilli, son potage.  Juvénal nous apprend qu'un poète fameux  Quoiqu'il soit estimé n'en est pas plus heureux. "")",-,0.0
"('#geronte', ""Tous mes voeux sont comblés, et ma joie est extrême  D'avoir pu contenter une fille que j'aime.  J'ai pour elle fait choix d'un époux accompli,  Qu'elle aimera sans doute étant bien fait, poli,  Enfin je m'applaudis d'avoir un pareil gendre,  C'est le fils de Damon, on le nomme Léandre.  Chacun connaît son bien et sa condition,  Son père est pour le moins riche d'un million. "")",-,0.0
"('#le-docteur', ""Permettez, cher ami, que je vous félicite  Je ne puis qu'admirer votre sage conduite,  Comme je suis votre seul confident,  Je vous ai reconnu pour un homme prudent.  Le juste ciel protège un père de famille,  Quand avec avantage il établit sa fille,  La fortune m'a moins favorisé que vous,  J'attends de jour en jour pour la mienne un époux  Il est, je l'avouerai, moins riche que Léandre,  Mais d'un engagement je n'ai pu me défendre,  C'est le fils de Philinte, homme de qualité,  Avec ce bon vieillard j'ai déjà contracté.  Il ne peut lui donner que mille écus de rente,  Quoiqu'il en soit ma fille en doit être contente.  La vôtre jouira d'un plus heureux destin,  Ce choix avantageux rend son bonheur certain  Il réussit en tout au gré de son envie,  Sa fille pouvait-elle être mieux établie !  Bas."")",-,0.0
"('#geronte', ""Un mari jeune, aimable, et de plus opulent,  A pour charmer sa femme un merveilleux talent  Enfin tout est conclu je n'ai plus rien à craindre  Vous de votre côté vous n'êtes pas à plaindre,  Dans nos projets formés nous sommes fort heureux,  Cette affaire nous va rajeunir tous les deux.  Mais j'ose vous prier de me rendre un service. "")",-,0.0
"('#le-docteur', 'Ne me pas éprouver est me faire injustice. ')",-,0.0
"('#geronte', ""De meubles je n'ai pas grande provision,  Vous savez que jamais je n'eus d'ambition,  J'ai toujours pris plaisir à garder ma finance,  Dans la crainte de faire une folle dépense.  Pour recevoir mon gendre un peu plus noblement,  Je voudrais lui meubler un grand appartement,  J'aurais besoin d'un lit, d'une tapisserie,  De vases, de miroirs, prêtez-moi je vous prie. "")",-,0.0
"('#le-docteur', ""Disposez librement de toute ma maison,  J'ai des meubles chez moi pour plus d'une saison,  Envoyez-moi des gens pour porter le bagage  Et si vous en voulez encore davantage,  Croyez que j'ai, mon cher, de quoi vous contenter,  Et sur moi vous pouvez entièrement compter. "")",-,0.0
"('#scaramouche', 'Quel vertigo vous prend, mon très illustre maître,  Vous demeurez ici sans vous faire connaître,  Géronte vous attend, que ne le voyez-vous ? ')",-,0.0
"('#leandre', ""Hélas ! Il troublerait les plaisirs les plus doux,  J'adore, tu le sais, la charmante Isabelle,  Ne blâmez point, mon cher, une flamme si belle. "")",-,0.0
"('#scaramouche', ""Je ne vous comprends pas, vous moquez-vous des gens ?  Peste des amoureux, ils perdent le bon sens :  Vous n'en usez pas bien, fi, fi, c'est une honte  Vous devez épouser la fille de Géronte,  Vous partez de Paris remplis de ce dessein.  Je crois que vous venez pour lui donner la main  Et quand vous arrivez malgré votre parole,  Vous vous amourachez d'une petite folle ;  Monsieur, ce procédé me parait fort suspect,  Vous êtes un coquin, soit dit par respect. "")",-,0.0
"('#leandre', ""Tu condamnes en vain ma nouvelle tendresse,  Je ne puis aisément guérir de ma faiblesse,  Et malgré ma promesse un objet tout charmant  A dispensé mon coeur de son engagement.  Isabelle à ses lois tient mon âme asservie,  Et je sens qu'il faudra l'aimer toute ma vie  Quand Léonore aurait de plus puissants appas  Ses attraits de mon coeur ne triompheraient pas.  Quelque puisse être enfin le courroux de mon père,  J'attends sans m'alarmer l'effet de sa colère,  L'amour et la raison ne peuvent s'accorder. "")",-,0.0
"('#scaramouche', ""Vous cherchez vainement à me persuader,  Monsieur, vous vous ferez quelque méchante affaire,  Vous avez le minois un peu patibulaire,  Croyez-moi profitez de ma sage leçon,  J'en sais plus long que vous, je suis un vieux barbon.  Ce n'est que l'amitié qui pour vous m'intéresse  Les filles de tout temps ont gâté la jeunesse,  C'est un malin bétail, pour l'avoir écouté,  Je ne sais que trop bien ce qui m'en a coûté.  Çà, que de cet amour votre coeur se délivre,  Je vous guiderez bien, vous n'avez qu'à me suivre,  Je veux de votre esprit gouverner le vaisseau,  Car il pourrait fort bien s'en aller à vau-l'eau,  Comme un Pilote expert je prétends vous conduire,  Et de votre raison calfeutrer le navire. "")",-,0.0
"('#leandre', ""Termine ce discours, tes soins sont superflus,  J'en ai trop entendu, ne m'importune plus,  J'espère voir bientôt la charmante Isabelle,  Dans son appartement un rendez-vous m'appelle.  Adieu. "")",-,0.0
"('#scaramouche', 'Vous persistez dans cette opinion,  Et ne profitez pas de ma correction,  Ah ! Le franc scélérat. ')",-,0.0
"('#leandre', ""Quoique tu sois habile  Pour me faire changer ton soin est inutile.  Il s'en va."")",-,0.0
"('#scaramouche', ""Comme de ma morale il ne fait point de cas,  Mes préceptes savants ne le réforment pas ?  Morbleu, de quoi me sert ma rhétorique ?  Je parle bon français c'est de quoi je me pique  Malgré ce que je dis, le pendard, le vilain,  Refuse de m'entendre et va toujours son train ;  Quand je veux lui tracer une plus belle route,  Pour ne pas y marcher il dit qu'il a la goutte.  Hé bien petit coquin, fais comme tu l'entends,  Pour moi je t'abandonne à tes égarements. "")",-,0.0
"('#le-docteur', ""Vous n'avez qu'à porter ces meubles chez Géronte. "")",-,0.0
"('#le-crocheteur', ""A-t-il de quoi payer, je crains qu'il ne m'affronte ? "")",-,0.0
"('#le-docteur', ""Oh ! Vous ne risquez rien il est homme d'honneur.  . . . . . . . . . . . . "")",-,0.0
"('#arlequin', ""Maître Jacques prenez cette chaise percée,  D'une certaine odeur ma narine est blessée,  Et mon nez délicat s'en est formalisé. "")",-,0.0
"('#le-crocheteur', ""Pour un rien vous voilà d'abord scandalisé. "")",-,0.0
"('#arlequin', ""N'allez pas pour cela me faire une querelle,  Je sais bien que pour vous c'est une bagatelle,  Vous avez l'odorat faquin et roturier,  Mais pour le mien il craint de se mésallier.  J'ai vu chez le Docteur une vaste cuisine  Où je voudrais gratis calmer ma faim canine.  En m'approchant du feu dans deux larges chaudrons,  J'ai d'abord aperçu d'excellents macarons  Qui sur un clair brasier une flamme bien pure  Par leur bouillonnement faisaient un doux murmure,  Moi qui suis de Bergame où l'on en mange tant  Si j'en avais ma part que j'en serais content !  Ciel qui depuis longtemps connais ma gourmandise,  Ne m'abandonne pas dans ma belle entreprise,  Autorise en ce jour un innocent larcin,  Daigne me seconder dans ce noble dessein,  Ou si des deux chaudrons je ne suis pas le maître,  Fais qu'au moins sur un plat je puisse me repaître,  Les Crocheteurs entrent chez Géronte. "")",-,0.0
"('#octave', 'Nous voici, grâce au Ciel, arrivé à Lyon. ')",-,0.0
"('#mezzetin', ""Vous aurez en ce lieu de l'occupation,  Dans ce charmant pays les filles sont fringantes  Certaines quelquefois sont plus que complaisantes.  Je sais parbleu la carte et je puis me vanter  D'être des plus experts dans l'art de coqueter.  Au reste vous ferez ici très bonne chère,  Si vous aimez le vin, Lyon est votre affaire  Du matin jusqu'au soir les cabarets sont pleins. "")",-,0.0
"('#octave', ""Non je n'ai point formé de semblables desseins  La fille du Docteur que l'on nomme Isabelle,  Est la seule beauté qui dans ces lieux m'appelle,  Tu sais que de paris j'ai quitté le séjour  Pour unir, s'il se peut, l'hymen avec l'amour. "")",-,0.0
"('#mezzetin', ""Si pour les accorder vous fîtes ce voyage,  Vous pouvez repartir sans tarder davantage,  Ici comme à Paris l'époux n'est point amant,  Je sais Lyon par coeur j'en parle savamment. "")",-,0.0
"('#octave', ""Faut-il que sur les moeurs ta piquante critique,  À répandre son fiel incessamment s'applique ?  Ce n'est pas d'aujourd'hui que tu connais mon coeur,  Et j'aimerai toujours la fille du Docteur. "")",-,0.0
"('#mezzetin', ""Ô miracle d'amour ! Quel excès de constance ! "")",-,0.0
"('#octave', 'Je ne veux point céder à mon impatience,  Avant que de la voir cherchons un cabaret. ')",-,0.0
"('#mezzetin', ""J'y consens volontiers cet asile me plaît,  C'est dans ce beau réduit cette aimable retraite  Que Mezzetin jouit d'une douceur parfaite,  Toujours le cabaret ce lieu récréatif,  Contre le mauvais air fut un préservatif  Un antidote enfin... "")",-,0.0
"('#octave', 'Finis donc je te prie,  Et frappe promptement à cette hôtellerie. ')",-,0.0
"('#mezzetin', 'Holà ? ')",-,0.0
"('#colombine', 'Que voulez-vous ? ')",-,0.0
"('#mezzetin', ""Ah ! le joli tendron,  Êtes-vous du logis l'enseigne ou le bouchon ? "")",-,0.0
"('#colombine', 'Non je suis la maîtresse. ')",-,0.0
"('#mezzetin', 'Agréable mignonne,  Je gage que chez vous la pratique foisonne. ')",-,0.0
"('#colombine', 'Tenez un peu vos mains et sans gesticuler... ')",-,0.0
-,"('#arlequin', ""Déserts, affreux déserts, sombres loges, parterre,  Balcons inhabités, théâtre solitaire ;  Et vous fidèles bancs, qui seuls depuis six mois,  Demeurez attentifs à nos comiques voix ;  Je viens vous raconter les malheurs de ma bourse.  De ces malheurs, hélas ! Le printemps est la source.  Le cruel mois de Mai, qui devrait tous les ans  Fournir nos coquettes d'amants,  Les effarouche et les écarte :  Il n'est officier qui ne parte.  Ô renouveau fatal, qui fais couler nos pleurs !  Pendant qu'on voit briller les parterres de fleurs,  Le nôtre languissant, ne pousse  Que des chardons et de la mousse.  Oui, le printemps qui vient peupler les arbrisseaux  De mille différents oiseaux,  Dépeuple de plumets, théâtres et ruelles,  Et fait nicher les hirondelles  Tranquillement dans nos plafonds.  On voit reverdir les buissons,  Et sécher sur pied les grisettes.  Le printemps vient enfin désoler nos cassettes.  À ce mot, mon coeur se saisit. Déjà vox faucibus haesit.  Qu'êtes-vous devenus, jeunes foudres de guerre,  Qui triomphiez jadis dans ce vaste parterre ?  Hélas ! Je n'y vois plus  Ce doux flux et reflux  De têtes ondoyantes,  Qui rend en plein hiver nos moissons abondantes,  Quand le troupeau guerrier et terrestre et marin,  Vient piétiner notre terrain ;  En y semant quelques paroles,  Nous recueillons force pistoles.  À présent nous semons dans la concavité.  Notre voix n'y produit qu'un écho répété ;  Écho fatal, qui va jusques dans nos marmites  Prouver le vide aux parasites.  Je le prouverais au Docteur entêté,  Que ma bourse est vide en été.  Depuis six mois entiers, à peine le dimanche  Arlequin tire-t-il les frais de son éclanche.  Aussi faute d'émolument  On voit que le relâchement  Se met dans la troupe comique :  Mezzetin s'en va voyager,  Le docteur quitte la boutique,  Pasquariel nous fait enrager ;  Octave fait l'amour, et Cinthe a la colique :  Notre caissier s'endort en faisant la recette,  Et le portier lit la gazette.  Le théâtre représente une solitude. "")",0.0
-,"('#colombine', ""À quoi diantre s'amuse Arlequin, pendant que la troupe tient conseil sur les affaires présentes ?"")",0.0
-,"('#arlequin', ""Je racontais nos malheurs aux échos et aux bois d'alentour."")",0.0
-,"('#colombine', 'Tu ferais bien mieux de chercher quelque remède à nos maux.')",0.0
-,"('#arlequin', ""Hélas !  Nous sommes les malades, et voilà les médecins... Il n'y a que la quantité de médecins qui puisse guérir notre maladie. Montrant le parterre."")",0.0
-,"('#colombine', 'Nous prendrions notre mal en patience, si nous pouvions avoir ici tous les jours une consultation de cinq à six cents médecins.')",0.0
-,"('#arlequin', 'Oh, ces médecins-là ne sont pas si âpres aux consultations, que ceux de la faculté.')",0.0
-,"('#colombine', ""J'en sais bien la raison : c'est qu'on donne de l'argent à ceux-là ; et ceux-ci au contraire payent à la porte le droit de dire leur avis."")",0.0
-,"('#arlequin', ""C'est pour cela qu'ils le disent si librement."")",0.0
-,"('#colombine', ""Mon pauvre Arlequin, puisque la saison de l'été est si contraire au tempérament des comédiens, puisque nous sommes desséchés, atténués, languissants, agonisants ; en un mot puisque nous sommes abandonnés des médecins, il faut tirer le rideau, c'est-à-dire fermer notre théâtre, et prendre congé de la compagnie."")",0.0
-,"('#arlequin', ""Avant que de mourir, nous avons encore l'émétique, et la petite bagatelle que nous jouons sera peut-être un émétique salutaire."")",0.0
-,"('#colombine', ""Bagatelle.  L'émétique le plus fin n'a point de vertu en automne.  En un mot, il faut quitter le jeu quand il ne vaut pas la chandelle."")",0.0
-,"('#arlequin', ""Elle a raison : cette diable de chandelle brûle toujours, il n'y a qu'à l'éteindre. Il veut éteindre les chandelles. "")",0.0
-,"('#colombine', ""Doucement.  Ce n'est pas que, si on jouait la comédie à l'aveuglette, cela nous ferait peut-être venir plus de monde."")",0.0
-,"('#arlequin', ""Je le crois.  L'auditeur a plus d'attention quand il ne voit goutte."")",0.0
-,"('#colombine', ""Oui, mais j'aurais peur qu'on ne fût si recueilli dans les loges, que l'attention ne passât pas les barreaux.  Finissons la plaisanterie.  Tous nos acteurs sont résolus de quitter la comédie, et de faire valoir chacun leur petit talent en particulier.  Ils vont tous passet en revue devant toi, afin que tu choisisses avec qui tu veux t'associer. Elle s'en va. "")",0.0
-,"('#arlequin', 'La revue ne sera pas complète ; car nous avons bien des déserteurs.')",0.0
-,"('#leandre', ""Fasse son métier qui le saura.  Jeune fille trop sévère,  Honteux gascon, normand sincère  Jamais ne réussira.  Fasse son métier qui le saura.  La joueuse qui s'acquitte,  Le guerrier qui plaidera,  Laide guenon qui sollicite,  Jamais ne réussira.  Fasse son métier qui le saura. (bis) "")",0.0
-,"('#arlequin', 'Hé bien, quel parti avez-vous pris, monsieur Léandre ?')",0.0
-,"('#leandre', ""Pour moi, je crois qu'il est bon que chacun s'en tienne au métier de ses pères, quoi qu'en disent nos guerriers bourgeois.  Tu sais que dans notre famille nous sommes tous amoureux de père en fils, et comme j'excelle à ce métier-là, je vais montrer en ville à faire l'amour méthodiquement."")",0.0
-,"('#arlequin', ""Fi !  Il n'y a que la canaille qui s'amuse à faire l'amour.  Les grands seigneurs l'achètent tout fait."")",0.0
-,"('#leandre', ""Je sais qu'à présent l'amour est moins un métier qu'une marchandise ; mais enfin, il faut toujours de l'art pour tromper une jeune innocente avec de faux serments : pour fasciner les yeux d'une mère, en la mettant de toutes les parties de plaisir : pour donner le change à un rival, et gagner l'amitié et la confidence des maris qui ont de jolies femmes."")",0.0
-,"('#arlequin', ""Ma foi, on n'a pas besoin de leçons pour tout cela, et où l'art manque, on a recours à la nature."")",0.0
-,"('#leandre', ""Pauvre Arlequin, tu verras que nous aurons des écolières, si tu veux t'associer avec moi."")",0.0
-,"('#arlequin', 'Hé mais...  Je le veux bien, moi, à condition que vous composerez les règles, et moi je les exercerai ; quand les écolières en vaudront la peine, vous donnerez les premières leçons, et je donnerai les dernières.')",0.0
-,"('#leandre', 'Je vois bien que tu es un ignorant.  Quand les premières leçons sont bonnes, les dernières en dépendent.')",0.0
-,"('#arlequin', ""Ho, point, point ; chacun a son talent auprès des dames.  Celui-ci prélude galamment, celui-là entre en matière, l'autre en sort avec honneur.  Les petits abbés, par exemple, sont admirables pour ébaucher une conversation galante : mais vivent les officiers pour donner la dernière main."")",0.0
-,"('#leandre', ""Je vois bien que tu as de bons principes, et si tu veux t'associer avec moi, nous ferons bien valoir le commerce."")",0.0
-,"('#arlequin', ""Ma foi non.  Dans le commerce de tendresse les associés ne s'accordent guères, et chacun fait sa main de son côté, sans rien rapporter à la masse. Léandre s'en va. "")",0.0
-,"('#arlequin', ""Pour vous, monsieur, on dit que vous allez vivre de vos rentes.  Je voudrais bien m'associer avec vous, j'ai du talent pour cela : mais il est défendu à un comédien italien de se reposer avant l'âge de six vingt ans ; et ce n'est que par tolérance que Scaramouche s'est retiré à quatre-vingt-quatorze. Et vous, mademoiselle, qu'allez-vous devenir ? À la Chanteuse. "")",0.0
-,"('#la-chanteuse', ""Quand une fille,  Jeune et gentille,  Voudra,  Bientôt elle parviendra ;  J'en connais une,  Que la fortune  Jusques aux cieux élèvera,  Dans un nuage, à l'opéra."")",0.0
-,"('#arlequin', ""Oui, mais ces sortes d'élévations-là sont sujettes à d'étranges malheurs : qu'une corde manque, voilà la fortune par terre. Le Docteur et la Chanteuse se retirent. "")",0.0
-,"('#colombine', ""Les affaires de la troupe ne vont pas trop bien : mais heureusement j'ai du talent d'ailleurs."")",0.0
-,"('#pierrot', 'Que la comédie aille comme elle pourra, pour moi je serai toujours recherché des femmes pour mon bel esprit.')",0.0
-,"('#colombine', ""Une fille qui a du service, se tire toujours d'affaires dans le monde."")",0.0
